"ID","Модуль","Функция","Статус","Уровень готовности (%)","Backend","Frontend","БД","Тесты","Доказательства","Проблемы","Что добавить","Приоритет"
"B1","B. Подключение Telegram-ресурсов","Подключение публичного канала (по username)","Реализовано","85","channel.service.ts:49-66 syncFromTelegram; telegram.service.ts:552-589 syncChannelByIdentifier","apps/web/src/app/channels/page.tsx, [id]/page.tsx","Channel (schema.prisma:102-127)","отсутствует","Реальный вызов bot.api.getChat + getChatMember для проверки прав","—","—","P3"
"B2","B. Подключение Telegram-ресурсов","Подключение закрытого канала (по chat id)","Реализовано","80","channel.service.ts:56-58 (обрабатывает 'chat not found' с подсказкой ввести chat id)","apps/web/src/app/channels/page.tsx","Channel","—","telegram.service.ts:557-559 поддерживает числовой chat id","UX подсказка текстовая, не отдельное поле формы","—","P3"
"B3","B. Подключение Telegram-ресурсов","Группы / супергруппы / личные сообщения / Telegram Business","Не реализовано","0","telegram.service.ts:235,290 — жёсткая проверка chat.type !== 'channel' → return","—","нет поля chatType, всё считается channel","—","my_chat_member и chat_member handlers игнорируют любой чат кроме 'channel'","Продукт работает только с каналами; группы/супергруппы/ЛС/Business — полностью вне охвата","Поддержка group/supergroup chat_member, Business Connection API","P1"
"B4","B. Подключение Telegram-ресурсов","Автоматическая регистрация канала при добавлении бота","Реализовано частично","60","telegram.service.ts:233-273 (my_chat_member) — резолвит workspace только для linked-пользователя или STAGING_LOGIN_EMAIL/slug='main'","—","Channel","—","resolveWorkspaceForChannelRegistration (bot-admin.service.ts:302-327)","В production без staging и без привязанного Telegram-аккаунта авто-регистрация не находит workspace — TZ-TELEGRAM-UA.md сам это подтверждает как ограничение MVP","Явный flow 'подтвердить владение каналом' токеном из кабинета","P1"
"B5","B. Подключение Telegram-ресурсов","Проверка прав бота (админ, invite_users)","Реализовано","90","telegram.service.ts:480-529 getBotPermissions; channel.controller.ts:35-37 GET :id/bot-status","apps/web/src/app/channels/[id]/page.tsx","Channel.botIsAdmin","отсутствует","Реальные вызовы getMe/getChatMember, возвращает issues[] с инструкцией","Нет теста","—","P3"
"B6","B. Подключение Telegram-ресурсов","Обработка удаления бота / изменения прав","Реализовано частично","50","telegram.service.ts:233-273 my_chat_member обновляет botIsAdmin на любое изменение статуса","—","Channel.botIsAdmin","—","Обновление статуса происходит, но нет уведомления в кабинете/алерта администратору, только Telegram-сообщение владельцу (notifyChannelConnected — только для connect, не для disconnect)","Нет уведомления при потере прав/удалении бота","Алерт (email/Telegram) при botIsAdmin=false у ранее активного канала","P2"
"B7","B. Подключение Telegram-ресурсов","Определение числа участников / публичности","Не реализовано","0","—","—","нет полей memberCount/isPublic на Channel","—","schema.prisma:102-127 Channel не содержит memberCount/isPublic","—","getChatMemberCount при sync, поле isPublic по наличию username","P3"
"C1","C. Пул Telegram-ботов","Пул агент-ботов / несколько ботов","Не реализовано","0","telegram.service.ts:18 — private bot: Bot | null — ОДИН глобальный бот на всё приложение (один TELEGRAM_BOT_TOKEN)","—","TelegramBotConnection существует, но не используется для маршрутизации — только справочно","—","TZ-TELEGRAM-UA.md:71 сам помечает 'Пул агент-ботів — Низький пріоритет'; TZ-DATABASE-BACKEND.md:361 'Один глобальний Telegram-бот на всі workspace'","Все workspaces конкурируют за rate-limit одного бота (Telegram: ~30 msg/sec, 20 групп/мин на добавление участников); при блокировке/бане бота падает вся платформа","BotConnection per workspace (client's own bot token) — модель уже есть в схеме, но не подключена к TelegramService","P1"
"C2","C. Пул Telegram-ботов","Мониторинг блокировок / health-check агента","Заготовка","25","health.controller.ts:9-16 — GET /health возвращает telegramBot: Boolean(TOKEN)","—","—","—","Health check проверяет только наличие токена, не реальную доступность API/webhook","Нет проверки getMe(), нет алертинга при падении бота","Активный healthcheck + alerting (Sentry/Telegram admin chat)","P1"
"C3","C. Пул Telegram-ботов","Исключение двойной обработки Telegram update","Реализовано с ошибками","50","telegram.service.ts:318-324 (сохраняет WebhookEventRaw, но БЕЗ уникального индекса на update_id); processUnsubscribe:412-430 (60-сек дедуп); processSubscribe:362-365 (дедуп через SubscriberProfile unique)","—","WebhookEventRaw.rawUpdateId — String? без @unique (schema.prisma:749-759, 340)","—","MembershipEvent.rawUpdateId (schema.prisma:340) не имеет unique constraint — повторный webhook update теоретически может создать вторую запись, если бы не побочная защита через SubscriberProfile existence check","Нет настоящей идемпотентности по update_id на уровне БД (полагается на побочный эффект бизнес-логики, а не на явный constraint)","@@unique([channelId, rawUpdateId]) на MembershipEvent, идемпотентный upsert","P1"
"C4","C. Пул Telegram-ботов","Резервный агент / автопереключение","Не реализовано","0","—","—","—","—","Один Bot instance, нет fallback","—","—","P3"
"D1","D. Telegram-события","channel_member_joined/left (SUBSCRIBE/UNSUBSCRIBE)","Реализовано с ошибками","60","telegram.service.ts:275-352 handleChatMemberUpdate; processSubscribe:354-400; processUnsubscribe:402-450","apps/web/src/app/subscribers/page.tsx, reports/subscriptions","MembershipEvent, SubscriberProfile (@@unique workspaceId+channelId+telegramUserId)","отсутствует","Реальный webhook-driven обработчик, различает SUBSCRIBE/UNSUBSCRIBE через diff old/new status","КРИТИЧНО: SubscriberProfile уникален НАВСЕГДА на (workspace,channel,user) — после первой отписки повторная подписка (processSubscribe:362-365 'existing → return') НЕ создаёт новый MembershipEvent/Attribution/ConversionEvent. Возврат подписчика из другого источника невозможно переатрибутировать — first-touch навечно застревает на первой подписке","Разрешить повторную подписку: либо снимать unique constraint и версионировать профиль, либо явно обрабатывать resubscribe как новое событие с новой атрибуцией","P0"
"D2","D. Telegram-события","channel_member_banned/unbanned/returned (различение статусов)","Не реализовано","0","telegram.service.ts:304-314 — сворачивает все статусы в бинарный SUBSCRIBE/UNSUBSCRIBE, 'kicked' и 'left' не различаются","—","MembershipEventType enum не содержит BANNED/UNBANNED/RETURNED","—","enum MembershipEventType (schema.prisma:324-329): SUBSCRIBE, UNSUBSCRIBE, JOIN_REQUEST_APPROVED, JOIN_REQUEST_DECLINED — банов нет как отдельного типа события","Нельзя отличить добровольный уход от бана в отчётах","Добавить BANNED/UNBANNED в enum и логику","P2"
"D3","D. Telegram-события","join_request_created/approved/declined","Не реализовано","0","grep 'join_request|chatJoinRequest' по apps/packages — 0 совпадений в исполняемом коде","—","MembershipEventType содержит JOIN_REQUEST_APPROVED/DECLINED как значения enum, но НИ ОДИН обработчик их не создаёт","—","telegram.service.ts не подписан на allowed_updates chat_join_request (строка 58: allowed_updates только message/my_chat_member/chat_member/callback_query)","Закрытые каналы с обязательной заявкой (join request) не поддерживаются — сценарий 'вступ у закритий канал' из ТЗ полностью не покрыт, хотя типы в БД заведены","Подписка на chat_join_request update, approveChatJoinRequest API, авто-одобрение по инвайт-токену","P0"
"D4","D. Telegram-события","invite_link_used (точная атрибуция)","Реализовано","85","telegram.service.ts:326-335,367-371; invite-link.service.ts; attribution.ts:71-84 (EXACT_CLICK_INVITE)","reports/attribution-confidence/page.tsx","InviteLink (schema.prisma:301-322, unique telegramInviteLink)","packages/shared/src/__tests__/attribution.test.ts","Единственный member_limit:1 invite на клик, сопоставление по точной ссылке","—","—","P3"
"D5","D. Telegram-события","folder_join_detected / initial_audience_detected","Не реализовано","0","—","—","—","—","нет полей/логики, различающих Telegram-папки или начальную аудиторию канала при подключении","—","—","P3"
"D6","D. Telegram-события","bot_started/bot_stopped/bot_blocked/bot_unblocked","Реализовано частично","50","telegram.service.ts:78-118 ('/start' → botStarted=true), 179-190 ('/stop' → botOptedOut=true)","apps/web/src/app/subscribers/[id]/page.tsx (botStarted/botOptedOut видны в досье)","SubscriberProfile.botStarted/botOptedOut","—","dashboard.service.ts:398-399 отдаёт эти поля в getSubscriberDossier","Реальная блокировка бота пользователем (403 Forbidden от Telegram API при sendMessage) НЕ фиксируется как событие — только явная команда /stop; bot-admin.service.ts:352-359 глотает ошибку отправки молча ('/* blocked bot */') без записи в БД","Ловить 403 от Telegram API и помечать botOptedOut=true автоматически","P2"
"D7","D. Telegram-события","custom_goal_reached / lead_created / registration_completed / purchase_completed","Не реализовано","0","нет модели Goal/CustomEvent; conversion.service.ts поддерживает только 3 фиксированных типа события (TG_Subscribe, TG_Qualified_Subscribe_D*, LeadMagnet_Claimed)","—","—","—","conversion.service.ts:22-176 — нет метода createCustomGoalEvent/createPurchaseEvent","Нет способа отправить в рекламные кабинеты произвольную бизнес-цель (лид, покупка, регистрация вне Telegram)","Универсальный POST /api/goals endpoint + модель CustomGoal","P1"
"D8","D. Telegram-события","business_chat_opened / business_message_received","Не реализовано","0","нет использования grammY business_connection/business_message API","—","—","—","grep 'business' в apps/api/src — 0 результатов кроме бизнес-логики отчётов","—","—","P3"
"E1","E. Событийная модель","Единая событийная модель (event_id, timestamps, source, attribution)","Реализовано частично","60","schema.prisma ClickEvent/MembershipEvent/ConversionEvent","—","ClickEvent имеет id/clickedAt (UTC), но НЕТ localTimestamp/timezone/schemaVersion; ConversionEvent имеет eventId+@@unique([workspaceId,eventId])","—","ConversionEvent — наиболее полная модель (idempotency через unique eventId, статус, payloadPreview); ClickEvent/MembershipEvent — более скудные (нет attempt count, нет explicit idempotency key на MembershipEvent)","Нет единой schema_version; timezone нигде не хранится (только UTC Date)","Добавить timezone/localTimestamp на ClickEvent, schemaVersion на события","P2"
"E2","E. Событийная модель","Идемпотентность webhook / уникальные индексы","Реализовано частично","55","см. C3","—","InviteLink.telegramInviteLink unique; SubscriberProfile unique(workspace,channel,user); ConversionEvent unique(workspace,eventId); MembershipEvent.rawUpdateId БЕЗ unique","—","—","См. D1/C3 — SubscriberProfile-уникальность одновременно защищает от дублей И ломает ресабскрайб","—","P0"
"E3","E. Событийная модель","Повторное вычисление атрибуции / поздние события","Не реализовано","0","attribution.service.ts вызывается ОДИН раз, синхронно, из telegram.service.processSubscribe. Нет job/endpoint для recompute","—","Attribution.manualOverride поле есть в схеме, но нет UI/endpoint для его выставления","—","grep 'reattribut|recompute|manualOverride' — manualOverride используется только как поле схемы, никогда не устанавливается true нигде в коде","Клик, пришедший позже подписки (event пришёл раньше клика) или запоздавший webhook не переоткрывает атрибуцию","Manual re-attribution endpoint + периодический recompute job","P1"
"F1","F. Трекинговые ссылки","Создание ссылки (landing/shortlink, канал, кампания, UTM, creative, slug)","Реализовано","85","tracking.service.ts:42-96 createLink; dto/create-tracking-link.dto.ts","apps/web/src/app/links/CreateTrackingLinkForm.tsx","TrackingLink (schema.prisma:210-245)","packages/shared/src/__tests__/link-mode.test.ts","generateSlug() криптографически случайный (crypto.ts:28-32); validateLinkModeForPlatform запрещает SHORTLINK для paid платформ","Нет custom slug (всегда автогенерируемый), нет собственного домена","custom slug, custom domain","P2"
"F2","F. Трекинговые ссылки","Редактирование / удаление / архивация ссылки","Не реализовано","0","tracking.controller.ts:102-123 TrackingLinksController — только GET (list/embed) и POST (create), НЕТ PATCH/DELETE","apps/web/src/app/links/page.tsx — нет кнопок edit/delete/archive","TrackingLink.isActive поле есть, но ничего его не переключает","—","—","Нельзя изменить/выключить/удалить созданную ссылку после создания","PATCH /api/tracking-links/:id (toggle isActive, edit UTM/destination), soft-delete","P1"
"F3","F. Трекинговые ссылки","Срок действия / лимит переходов","Не реализовано","0","—","—","нет полей expiresAt/clickLimit на TrackingLink","—","—","—","—","P3"
"F4","F. Трекинговые ссылки","QR-код","Не реализовано","0","—","—","—","—","grep 'qrcode|qr-code' — 0","—","—","P3"
"F5","F. Трекинговые ссылки","Массовое создание / импорт / экспорт ссылок","Не реализовано","0","—","—","—","—","—","—","—","P3"
"F6","F. Трекинговые ссылки","Удаление статистики при удалении ссылки","Не удалось подтвердить (функции удаления нет)","0","—","—","ClickEvent.trackingLinkId имеет onDelete: Cascade (schema.prisma:292) — если бы удаление ссылки существовало, статистика удалилась бы каскадно","—","Раз удаления нет (F2), риск не реализуется на практике сегодня, но при добавлении DELETE endpoint схема СЕЙЧАС каскадно снесёт всю аналитику — архитектурный риск на будущее","onDelete:Cascade на ClickEvent/InviteLink/Attribution по trackingLinkId — нужно поменять на SetNull перед тем как добавлять delete","Заменить Cascade→SetNull для сохранения истории кликов при будущем удалении ссылок","P1"
"F7","F. Трекинговые ссылки","Встраиваемый JS-скрипт для сторонних сайтов (лендинги)","Реализовано частично","50","tracking.service.ts:252-273 getEmbedScript/getEmbedSnippet","apps/web/src/components/EmbedSnippet.tsx (не читан подробно, но подключён в links/page.tsx:79)","—","—","cleartg.js (256 символов) слушает клики по a[href*=t.me/] и делает redirect на /l/slug с сохранением текущего query","Нет MutationObserver (не ловит ссылки, добавленные в DOM после начальной загрузки/SPA); нет собственных методов Tracker.identify/setConsent/trackGoal","MutationObserver, публичный Tracker API (Module O)","P2"
"G1","G. Обработка кликов","Захват клика: UTM, fbclid/fbp/fbc/gclid/gbraid/wbraid/ttclid/ttp/ga","Реализовано","85","tracking.service.ts:139-207 recordClick; packages/shared/src/tracking.ts:24-42 extractClickIds","apps/api/src/tracking/tracking-html.ts (лендинги)","ClickEvent (schema.prisma:249-299)","—","Все основные рекламные ID захватываются из query params","Нет захвата _fbp/_fbc из cookie на сервере (только из query) — если рекламная платформа не проставляет их в URL, событие теряет fbp/fbc","Чтение _fbp/_fbc cookie на редиректе","P2"
"G2","G. Обработка кликов","IP/User-Agent (хеш), browser/device/os","Реализовано","90","tracking.service.ts:174-179; packages/shared/src/crypto.ts:3-9 hashIp/hashUserAgent (HMAC-SHA256); packages/shared/src/tracking.ts:9-22 parseUserAgent (ua-parser-js)","—","ClickEvent.ipHash/userAgentHash/browser/device/os","—","Privacy-by-design: сырой IP/UA никогда не сохраняется","—","—","P3"
"G3","G. Обработка кликов","Страна / устройство (гео)","Заготовка","10","tracking.service.ts:139-207 — geoCountry/geoRegion НЕ заполняются нигде в recordClick","—","ClickEvent.geoCountry/geoRegion (schema.prisma:282-283) — поля есть, но всегда NULL","—","Нет geo-IP провайдера/вызова в коде","—","Подключить geo-IP (MaxMind/ipapi) на recordClick","P2"
"G4","G. Обработка кликов","Session/visitor ID, номер визита, новый/возвращённый","Не реализовано","0","—","—","ClickEvent не содержит sessionId/visitorId/visitNumber полей","—","schema.prisma:249-299 — нет таких полей","Нельзя различить повторные визиты одного посетителя","visitorId cookie (first-party), sessionId, visitNumber","P2"
"G5","G. Обработка кликов","Время на лендинге / время до перехода в Telegram","Реализовано частично","40","tracking.service.ts:237-250 recordTelegramOpen; tracking-html.ts:81-92 sendBeacon","—","ClickEvent.telegramOpenedAt","—","КРИТИЧНО: sendBeacon вызывается только когда рендерится HTML-страница (autoRedirect=false ИЛИ redirectDelayMs>0). При дефолтной настройке (autoRedirect=true, redirectDelayMs=0 — рекомендуемый tgtrack-режим 'непомітно для користувача', см. README.md:23) tracking.controller.ts:31-33 делает голый 302-redirect БЕЗ рендера HTML и БЕЗ вызова beacon — telegramOpenedAt никогда не проставляется","'Цель Открыл Telegram' фактически не работает в рекомендуемом по умолчанию режиме продукта","Слать beacon/пиксель до редиректа даже при instant-redirect (напр. через интерстициальный 1-кадровый редирект или Server-Timing)","P0"
"G6","G. Обработка кликов","Различение обычных/уникальных/подозрительных/повторных кликов","Не реализовано","0","—","—","—","—","dashboard.service.ts считает только count() всех ClickEvent, без дедупликации по visitor","Нет метрики 'уникальные клики' — только общие","—","P2"
"H1","H. Атрибуционный движок","5-уровневая атрибуция (exact/campaign/probabilistic/organic/unknown)","Реализовано","90","packages/shared/src/attribution.ts:55-172; attribution/attribution.service.ts:14-96","apps/web/src/app/reports/attribution-confidence/page.tsx","Attribution (schema.prisma:361-387)","packages/shared/src/__tests__/attribution.test.ts (201 строк, покрывает все 5 веток)","Единственный реально протестированный сложный алгоритм в проекте","Нет теста на конкурентность/edge-cases многоканальной атрибуции (пользователь кликнул по нескольким ссылкам подряд — берётся только 'nearest', без multi-touch модели)","—","P3"
"H2","H. Атрибуционный движок","Настраиваемое окно атрибуции","Реализовано","90","Campaign.attributionWindowMinutes (default 10080=7d); attribution.service.ts:32","apps/web/src/app/campaigns/CreateCampaignForm.tsx","Campaign.attributionWindowMinutes","—","—","—","—","P3"
"H3","H. Атрибуционный движок","Ручная переатрибуция / пересчёт","Не реализовано","0","см. E3","—","Attribution.manualOverride (не используется)","—","—","—","—","P1"
"H4","H. Атрибуционный движок","Сценарий: повторная подписка после отписки (разные источники)","Реализовано с ошибками","30","См. D1","—","SubscriberProfile unique constraint","—","Ожидаемое поведение (ТЗ): last-touch должен обновиться при resubscribe. Фактическое: processSubscribe возвращает раньше любой обработки, т.к. profile уже существует","P0 — прямое нарушение сценария 6 из ТЗ аудита","См. D1","P0"
"H5","H. Атрибуционный движок","Атрибуция через заявку на вступление (join request) / автоприём","Не реализовано","0","См. D3","—","—","—","—","—","—","P0"
"H6","H. Атрибуционный движок","Атрибуция BOT_START (клик → бот → /start с параметром)","Реализовано с ошибками","30","tracking.service.ts:311 генерирует `?start=click_{clickId}`, НО telegram.service.ts:78-118 bot.command('start') обрабатывает только префиксы 'lm_' и 'bind_' — 'click_' не обрабатывается вообще","—","—","—","Payload с 'click_' просто игнорируется — падает в общий 'else' ветки (приветственное меню), клик никогда не связывается с последующей подпиской через бота","DESTINATION_MODE=BOT_START генерирует нерабочую атрибуцию","Обработать payload.startsWith('click_') в telegram.service.ts, связать с MembershipEvent при последующем /start в канал/группу бота","P1"
"I1","I. Telegram Mini App","Mini App (получение Telegram user ID, initData, точная идентификация)","Не реализовано","0","grep 'initData|WebApp' — 0 совпадений во всём репозитории","—","—","—","—","Нет точного связывания клика (браузер) и Telegram ID до подписки — вся атрибуция полагается на invite-link/probabilistic; это прямой функциональный разрыв относительно TGTrack, где Mini App даёт near-100% точность","Telegram Mini App с валидацией initData (HMAC по бот-токену) на маршруте открытия канала/бота","P1"
"J1","J. Цель «Открыл Telegram»","Различение клика / нажатия кнопки Telegram / открытия / подписки","Реализовано с ошибками","35","См. G5","—","ClickEvent.telegramOpenedAt","—","—","См. G5 — не работает в дефолтном режиме instant-redirect","—","P0"
"K1","K. Антифрод","Фильтр дата-центров/прокси/VPN/headless/rate-limit/fraud score","Не реализовано","0","grep 'fraud|vpn|datacenter|headless|ThrottlerModule|rate.?limit' по apps/packages — 0 значимых совпадений","—","—","—","tracking.controller.ts /l/:slug и /r/:slug — публичные endpoints без единого rate-limit; main.ts не подключает @nestjs/throttler","Клики можно спамить без ограничений (влияет на бюджет БД и потенциально на достоверность конверсий); webhook /telegram/webhook также без rate-limit (защищён только secretToken)","ThrottlerModule минимум на /l/, /r/, /api/auth/*, /telegram/webhook","P0"
"L1","L. Meta Ads","Conversions API — server-side отправка событий","Реализовано","75","integrations/meta/meta.service.ts:49-112","apps/web/src/app/integrations/meta/page.tsx","MetaIntegration (accessTokenEnc зашифрован AES-256-GCM)","packages/shared/src/__tests__/meta-capi.test.ts (17 строк — минимальный)","Реальный HTTP POST в graph.facebook.com/v21.0, fbc/fbp дедуп, event_id, test_event_code, consent-gate перед добавлением user_data","Нет OAuth/Business Manager подключения — pixelId+accessToken вводятся вручную (нет выбора Pixel из списка, нет refresh токена — просроченный long-lived token просто перестанет работать без предупреждения); нет retry/backoff при сетевой ошибке (см. L3); нет Event Match Quality диагностики","OAuth Meta Business, refresh flow, EMQ diagnostics","P1"
"L2","L. Meta Ads","Browser Pixel + server-side дедупликация","Реализовано частично","50","meta.service.ts:64-67 buildFbcFromFbclid — сервер строит fbc/fbp корректно для дедупа с браузерным Pixel","Нет browser-side Meta Pixel snippet в apps/web или в лендинге (tracking-html.ts не содержит fbq())","—","—","tracking-html.ts (renderLandingPage/renderShortlinkPage) не инжектит клиентский Meta Pixel — дедуп готов только на сервере, но браузерного события для дедупа не с чем сравнивать","Нет реального browser Pixel на страницах — 'дедупликация browser/server' по факту работает в одну сторону","Инжект fbq('track',...) на лендинге с тем же event_id","P2"
"L3","L. Meta Ads / все интеграции","Retry / exponential backoff / dead-letter queue при недоступности рекламного API","Реализовано с ошибками","25","conversion.module.ts:7-11 BullModule.registerQueue без defaultJobOptions.attempts; conversion.service.ts:69-73 deliveryQueue.add без attempts/backoff","—","ConversionDeliveryLog хранит результат попытки (attemptNumber default 1, но никогда не инкрементируется)","—","BullMQ job по умолчанию attempts=1 — при сетевой ошибке/5xx meta/google/tiktok событие помечается FAILED (conversion.processor.ts:116-125) и НИКОГДА не повторяется автоматически","Сценарий 8 из ТЗ ('рекламный API временно недоступен → retry → доставлено либо DLQ') НЕ работает — единственная попытка, без DLQ, без видимой пользователю ошибки кроме status=FAILED в БД","defaultJobOptions:{attempts:5, backoff:{type:'exponential',delay:60000}}, BullMQ DLQ (failed queue) + admin UI для ручного replay","P0"
"L4","L. Meta Ads","Отмена конверсии при быстрой отписке","Реализовано частично","50","conversion.processor.ts:34-57","—","Campaign.conversionDelayMinutes (default 0)","—","Проверка quickUnsub выполняется ТОЛЬКО если delayMin>0 (строка 40 'if (delayMin > 0)'); при дефолтном delayMinutes=0 событие уходит в рекламу мгновенно без проверки отписки","При настройках по умолчанию (задержка=0) сценарий 5 из ТЗ не защищён","Минимальная защитная задержка (напр. 60 сек) применяемая всегда, независимо от campaign.conversionDelayMinutes","P0"
"M1","M. Google Ads","OAuth + refresh + uploadClickConversions","Реализовано","80","integrations/google-ads/google-ads-oauth.service.ts (весь файл); google-ads.service.ts:96-192","apps/web/src/app/integrations/google-ads/GoogleAdsIntegrationClient.tsx","GoogleAdsIntegration.oauthCredentialsEnc (AES-256-GCM)","packages/shared/src/__tests__/google-ads.test.ts","Полный OAuth authorization_code + refresh_token flow, partial failure detection (responseBody.partialFailureError)","См. L3 (нет retry на уровне очереди); нет enhanced conversions for leads (email/phone hash) — только gclid/gbraid/wbraid/externalIdHash","Enhanced conversions (hashed email/phone), retry","P2"
"M2","M. Google Ads","Отзыв конверсии при быстрой отписке / корректировки","Реализовано частично","40","Общая логика с L4 (conversion.processor.ts) применяется ко всем платформам одинаково","—","—","—","Нет отдельного Google Ads 'adjustment' API вызова (conversion adjustment upload) — только предотвращение отправки, не отзыв уже отправленной","Если конверсия уже отправлена и юзер отписался позже — нет corrective call","UploadConversionAdjustments для retraction","P2"
"N1","N. TikTok Ads","Events API server-side","Реализовано","75","integrations/tiktok/tiktok.service.ts","apps/web/src/app/integrations/tiktok/page.tsx","TikTokIntegration","packages/shared/src/__tests__/tiktok.test.ts","Реальный POST business-api.tiktok.com/open_api/v1.3/event/track/, ttclid/ttp, external_id, test_event_code","См. L3 (retry); нет TikTok Pixel browser-side для дедупа (аналогично L2)","—","P2"
"O1","O. JS SDK для сайтов","cleartg.js — авто-подмена t.me ссылок","Реализовано частично","40","tracking.service.ts:252-254 getEmbedScript","—","—","—","253-байтный inline-скрипт, слушает клики на a[href*=t.me/] через querySelectorAll один раз при DOMContentLoaded","НЕТ MutationObserver → не находит ссылки, добавленные динамически (SPA, ленивая загрузка); НЕТ публичного API (Tracker.openChannel/trackGoal/identify/setConsent/debug) — из требуемого в ТЗ списка методов не реализован НИ ОДИН именованный метод, только implicit click-hijack","MutationObserver + window.ClearTG.{openChannel,openBot,trackGoal,identify,setConsent,debug}","P1"
